"id","gender","age","province","income","bank","num_products","client_duration","payment","distrn","option","family","lapse_indicator","single_premium","couple_premium","family_premium"
X00266,Male,35,MP,3000.0,Capitec,4,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X00267,Female,48,MP,8600.0,FNB,1,2,Debit order,Internal,HospiCare,Family,0,350,630,1120
X00287,Female,50,KZN,7300.0,Nedbank,3,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X00289,Female,42,NC,7600.0,Capitec,1,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X00290,Female,40,WC,6300.0,FNB,3,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04880,Male,45,WC,3300.0,Capitec,1,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X00014,Female,53,NC,2600.0,Capitec,2,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X00015,Female,47,KZN,14800.0,Capitec,7,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X00033,Female,43,GP,3200.0,Capitec,1,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X00041,Male,50,WC,16000.0,Other,5,0,Stop order,Broker,HospiCare,Family,0,350,630,1120
X00050,Male,44,KZN,6800.0,FNB,3,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X00054,Male,42,KZN,3700.0,ABSA,1,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X00057,Male,49,NC,11700.0,Standard,1,3,Stop order,Broker,HospiCare,Couple,0,350,630,1120
X00060,Male,51,GP,,FNB,2,0,Stop order,Broker,HospiCare,Family,1,350,630,1120
X00068,Female,54,EC,5400.0,Capitec,1,0,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X00070,Female,39,NC,9600.0,Capitec,1,1,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X00071,Female,28,GP,4400.0,Capitec,7,1,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X00072,Female,43,MP,2500.0,Capitec,4,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X00074,Female,52,WC,5800.0,ABSA,1,2,Debit order,Internal,HospiCare,Family,0,350,630,1120
X00075,Male,37,KZN,7500.0,Capitec,1,4,Debit order,Internal,HospiCare,Family,0,350,630,1120
X00076,Male,51,WC,29600.0,ABSA,1,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X00081,Male,52,WC,11100.0,Standard,5,2,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X00082,Female,36,GP,29700.0,FNB,2,0,Stop order,Broker,HospiCare,Couple,1,350,630,1120
X00085,Female,39,MP,4400.0,Capitec,1,1,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X00105,Male,38,GP,32300.0,Standard,5,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X00114,Male,35,NW,2200.0,Capitec,3,0,Debit order,Internal,HospiCare,Single,1,350,630,1120
X00117,Male,41,LP,21000.0,Capitec,5,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X00122,Male,42,NW,16500.0,Capitec,2,3,Debit order,Digital,HospiCare,Couple,0,350,630,1120
X00123,Male,48,GP,32300.0,Standard,1,0,Stop order,Broker,HospiCare,Family,1,350,630,1120
X00124,Male,50,NW,12000.0,FNB,10,1,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X00128,Male,43,FS,10200.0,Nedbank,1,0,Debit order,Digital,HospiCare,Family,1,350,630,1120
X03680,Female,52,WC,75100.0,FNB,2,1,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X03685,Female,48,GP,14300.0,Capitec,4,4,Debit order,Internal,HospiCare,Couple,0,350,630,1120
X03695,Male,54,NW,8100.0,,5,1,,Internal,HospiCare,Family,1,350,630,1120
X03710,Female,47,NC,4800.0,Capitec,2,3,Debit order,Internal,HospiCare,Family,0,350,630,1120
X03716,Male,32,EC,6500.0,Nedbank,3,0,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X03737,Male,50,GP,7400.0,Nedbank,1,0,Stop order,Broker,HospiCare,Couple,0,350,630,1120
X03745,Male,51,KZN,15300.0,Standard,3,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X03753,Female,41,KZN,7500.0,Capitec,1,3,Debit order,Broker,HospiCare,Family,0,350,630,1120
X03754,Male,62,GP,2200.0,Capitec,2,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X03773,Male,53,EC,9900.0,Capitec,5,1,Debit order,Internal,HospiCare,Single,0,350,630,1120
X03786,Female,36,WC,7500.0,Other,4,0,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X03787,Female,44,MP,3600.0,Capitec,3,1,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X03794,Male,46,NW,17000.0,FNB,4,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X03795,Male,38,GP,13500.0,Capitec,2,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03801,Female,40,WC,,Capitec,3,2,Debit order,Broker,HospiCare,Family,0,350,630,1120
X03808,Male,58,WC,38000.0,FNB,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03836,Male,50,WC,11800.0,Capitec,1,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X03858,Female,34,GP,11400.0,Nedbank,2,2,Debit order,Internal,HospiCare,Family,0,350,630,1120
X03864,Female,46,NW,15700.0,Capitec,1,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X03876,Male,41,KZN,22100.0,ABSA,4,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X03877,Male,32,KZN,,,1,1,,Broker,HospiCare,Couple,0,350,630,1120
X03898,Male,54,GP,2400.0,Capitec,4,0,Debit order,Digital,HospiCare,Family,0,350,630,1120
X03905,Female,47,GP,2900.0,Capitec,1,0,Debit order,Internal,HospiCare,Family,0,350,630,1120
X03913,Female,42,GP,2600.0,FNB,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03925,Male,50,KZN,16000.0,Capitec,3,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03927,Female,53,GP,10100.0,FNB,2,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X03928,Male,41,KZN,4700.0,ABSA,2,2,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X03933,Female,59,FS,15700.0,FNB,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03937,Male,39,GP,15400.0,FNB,7,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X03938,Male,45,GP,8100.0,Standard,1,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X03942,Male,53,WC,25900.0,FNB,4,3,Debit order,Internal,HospiCare,Couple,0,350,630,1120
X03943,Male,40,WC,15700.0,FNB,2,0,Debit order,Digital,HospiCare,Couple,0,350,630,1120
X03947,Male,42,FS,5500.0,FNB,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03957,Male,51,MP,5500.0,Capitec,2,1,Debit order,Internal,HospiCare,Couple,0,350,630,1120
X03963,Male,38,LP,7100.0,Capitec,2,4,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03969,Male,52,GP,2900.0,Capitec,3,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X03975,Male,45,WC,28300.0,ABSA,2,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X03976,Male,48,KZN,37900.0,FNB,10,0,Debit order,Internal,HospiCare,Family,0,350,630,1120
X03995,Female,42,KZN,4300.0,Capitec,9,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04011,Male,47,GP,5100.0,Capitec,4,2,Debit order,Digital,HospiCare,Couple,0,350,630,1120
X04023,Male,50,FS,1170000.0,FNB,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04024,Female,40,EC,3500.0,ABSA,3,2,Stop order,Internal,HospiCare,Couple,0,350,630,1120
X04033,Male,43,WC,6500.0,FNB,1,0,Stop order,Internal,HospiCare,Family,1,350,630,1120
X04038,Male,50,GP,,ABSA,1,1,Stop order,Broker,HospiCare,Couple,0,350,630,1120
X04044,Male,40,NW,20100.0,FNB,3,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04054,Female,31,NC,7100.0,Capitec,10,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04097,Female,38,FS,30500.0,ABSA,8,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04115,Female,38,MP,2700.0,Capitec,1,1,Debit order,Digital,HospiCare,Couple,0,350,630,1120
X04124,Male,41,EC,11500.0,Capitec,2,0,Debit order,Digital,HospiCare,Couple,1,350,630,1120
X04134,Female,51,GP,18700.0,ABSA,1,3,Stop order,Broker,HospiCare,Family,0,350,630,1120
X04139,Male,47,GP,9300.0,FNB,1,4,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04142,Male,44,GP,6600.0,FNB,3,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04153,Male,46,WC,12200.0,Capitec,6,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04154,Male,44,WC,2300.0,ABSA,3,1,Debit order,Digital,HospiCare,Single,0,350,630,1120
X04162,Female,48,GP,4600.0,Capitec,1,4,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04204,Male,45,EC,4500.0,ABSA,2,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04208,Male,55,FS,24800.0,Capitec,4,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04215,Female,48,KZN,12500.0,Capitec,3,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04216,Male,54,KZN,4200.0,Nedbank,3,1,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04218,Female,60,NC,23200.0,Standard,3,2,Stop order,Internal,HospiCare,Family,1,350,630,1120
X04227,Female,54,WC,3900.0,Capitec,1,4,Debit order,Digital,HospiCare,Family,0,350,630,1120
X04229,Male,37,MP,2900.0,FNB,4,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04232,Male,53,KZN,40900.0,FNB,3,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04235,Female,41,KZN,8200.0,Capitec,6,5,Debit order,Digital,HospiCare,Family,0,350,630,1120
X04260,Male,47,GP,6400.0,Capitec,2,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04263,Male,42,GP,8900.0,Capitec,3,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04265,Female,57,GP,23800.0,Capitec,1,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04269,Female,44,FS,6400.0,Capitec,3,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04270,Male,48,NW,11300.0,ABSA,2,4,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04271,Male,54,KZN,7400.0,ABSA,2,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04272,Male,44,EC,11800.0,Standard,2,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04284,Male,41,WC,9900.0,FNB,3,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04294,Female,41,MP,18300.0,Nedbank,6,0,Stop order,Broker,HospiCare,Family,1,350,630,1120
X04302,Male,53,NW,,Nedbank,1,0,Debit order,Internal,HospiCare,Single,1,350,630,1120
X04317,Female,50,LP,4800.0,Capitec,3,2,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04340,Female,46,NC,2900.0,Capitec,4,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04344,Female,39,EC,24800.0,FNB,2,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04346,Female,41,GP,4200.0,FNB,3,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04353,Female,38,NW,10000.0,Standard,1,1,Stop order,Broker,HospiCare,Couple,1,350,630,1120
X04358,Male,42,KZN,6900.0,Capitec,5,2,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04363,Female,41,KZN,2100.0,Standard,1,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04369,Male,45,LP,2900.0,FNB,1,1,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X04373,Male,52,KZN,34700.0,Standard,10,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X04377,Male,44,NW,20200.0,FNB,3,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04389,Male,55,KZN,4300.0,FNB,2,2,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04394,Male,39,KZN,13300.0,FNB,10,1,Stop order,Broker,HospiCare,Family,1,350,630,1120
X04399,Male,47,MP,5700.0,FNB,4,2,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04404,Female,48,FS,26600.0,Capitec,1,5,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04426,Female,42,EC,9800.0,Capitec,4,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04428,Female,44,LP,30600.0,FNB,2,2,Stop order,Broker,HospiCare,Family,1,350,630,1120
X04442,Female,40,MP,4200.0,Other,4,1,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X04446,Female,43,WC,5300.0,Nedbank,6,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X04449,Female,41,KZN,12800.0,Standard,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04460,Male,45,WC,,Capitec,3,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04465,Female,50,GP,15100.0,Capitec,4,1,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04493,Male,47,WC,19500.0,Capitec,2,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04496,Male,43,GP,24100.0,FNB,2,4,Stop order,Broker,HospiCare,Family,0,350,630,1120
X04504,Female,43,KZN,8300.0,Capitec,4,4,Debit order,Digital,HospiCare,Family,1,350,630,1120
X04518,Male,41,WC,16900.0,FNB,1,0,Stop order,Internal,HospiCare,Couple,0,350,630,1120
X04522,Male,42,WC,4000.0,Standard,2,4,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04525,Male,55,GP,2300.0,FNB,3,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X04535,Female,37,GP,2300.0,Capitec,2,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04536,Male,42,WC,3200.0,Standard,2,0,Stop order,Broker,HospiCare,Couple,1,350,630,1120
X04546,Female,51,NW,21900.0,ABSA,7,2,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X04548,Female,53,WC,6600.0,Capitec,2,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04553,Female,38,WC,11700.0,Capitec,2,2,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04564,Female,31,WC,2900.0,Standard,2,1,Stop order,Internal,HospiCare,Couple,1,350,630,1120
X04574,Male,56,WC,17100.0,FNB,3,2,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04580,Female,43,KZN,6800.0,FNB,1,1,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04583,Female,32,NW,8800.0,Capitec,1,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04589,Male,33,NW,27800.0,Capitec,1,1,Debit order,Broker,HospiCare,Single,0,350,630,1120
X04592,Female,49,KZN,8900.0,ABSA,1,0,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04595,Male,45,GP,38100.0,FNB,1,1,Stop order,Broker,HospiCare,Family,1,350,630,1120
X04601,Female,33,KZN,9600.0,ABSA,1,5,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04603,Female,48,EC,3500.0,Capitec,1,3,Debit order,Broker,HospiCare,Single,0,350,630,1120
X04605,Male,43,KZN,20300.0,Standard,3,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04613,Male,44,EC,2900.0,Standard,2,0,Stop order,Broker,HospiCare,Couple,1,350,630,1120
X04622,Female,45,WC,5000.0,Capitec,1,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04626,Male,41,KZN,8300.0,ABSA,2,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04630,Male,30,WC,,FNB,5,0,Debit order,Internal,HospiCare,Single,1,350,630,1120
X04635,Female,36,GP,3500.0,Nedbank,1,1,Stop order,Internal,HospiCare,Couple,0,350,630,1120
X04636,Male,41,FS,7800.0,Standard,2,1,Stop order,Internal,HospiCare,Family,1,350,630,1120
X04637,Male,41,GP,3900.0,FNB,1,0,Stop order,Broker,HospiCare,Couple,1,350,630,1120
X04646,Male,50,NW,4000.0,Capitec,4,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X04656,Female,33,FS,9500.0,Capitec,3,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04658,Male,51,GP,14700.0,Standard,6,0,Debit order,Internal,HospiCare,Couple,0,350,630,1120
X04661,Female,45,KZN,10700.0,FNB,1,0,Debit order,Broker,HospiCare,Single,0,350,630,1120
X04665,Female,41,EC,5600.0,Capitec,1,2,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04669,Male,41,NW,8900.0,Nedbank,2,5,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04673,Female,43,FS,53800.0,Standard,10,4,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04674,Male,56,MP,19200.0,Capitec,2,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04680,Male,54,MP,10500.0,Capitec,1,1,Debit order,Internal,HospiCare,Couple,0,350,630,1120
X04683,Male,43,GP,4500.0,ABSA,4,1,Debit order,Internal,HospiCare,Single,1,350,630,1120
X04686,Female,41,WC,4200.0,ABSA,1,0,Stop order,Digital,HospiCare,Couple,1,350,630,1120
X04689,Male,43,KZN,2100.0,Capitec,2,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04715,Male,41,NW,20400.0,ABSA,1,2,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04722,Female,44,EC,4700.0,Capitec,3,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04738,Male,43,GP,13200.0,Capitec,7,3,Debit order,Internal,HospiCare,Single,0,350,630,1120
X04745,Female,45,KZN,6300.0,Capitec,7,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04762,Female,55,GP,7200.0,Capitec,4,3,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04769,Male,58,GP,6500.0,Capitec,8,0,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04774,Male,47,GP,14400.0,Capitec,4,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04784,Male,41,WC,6800.0,FNB,5,2,Stop order,Internal,HospiCare,Family,0,350,630,1120
X04793,Female,52,FS,19000.0,Capitec,2,0,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04819,Male,49,GP,16900.0,FNB,9,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04823,Female,36,KZN,,Capitec,3,0,Debit order,Digital,HospiCare,Family,0,350,630,1120
X04840,Male,46,WC,7100.0,Capitec,1,0,Debit order,Internal,HospiCare,Couple,0,350,630,1120
X04850,Male,44,GP,,Nedbank,5,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04860,Female,34,NW,7600.0,Capitec,1,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04864,Female,47,EC,8300.0,Capitec,2,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04865,Male,36,GP,19000.0,Capitec,3,0,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X04867,Female,42,LP,17700.0,Capitec,1,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04878,Male,35,GP,6000.0,Capitec,2,2,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X00011,Male,47,EC,11200.0,ABSA,6,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04881,Male,37,KZN,7600.0,Capitec,2,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X04887,Female,52,GP,10400.0,Capitec,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04890,Male,44,KZN,2700.0,Capitec,4,1,Debit order,Digital,HospiCare,Family,1,350,630,1120
X04896,Female,50,KZN,35800.0,FNB,2,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04902,Female,44,NC,9100.0,FNB,3,0,Debit order,Internal,HospiCare,Family,0,350,630,1120
X04904,Female,40,LP,12100.0,Capitec,3,0,Debit order,Digital,HospiCare,Couple,0,350,630,1120
X04912,Male,50,KZN,19900.0,Nedbank,3,2,Debit order,Broker,HospiCare,Single,0,350,630,1120
X04921,Female,46,KZN,6700.0,ABSA,9,3,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04924,Female,32,GP,,FNB,1,1,Stop order,Broker,HospiCare,Family,0,350,630,1120
X04925,Male,43,WC,18100.0,Other,4,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04929,Male,42,LP,6000.0,Standard,5,1,Debit order,Internal,HospiCare,Single,1,350,630,1120
X04942,Male,44,WC,9800.0,ABSA,7,4,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X04964,Male,55,KZN,34100.0,,1,0,,Broker,HospiCare,Family,0,350,630,1120
X04966,Male,56,LP,8800.0,Standard,2,2,Debit order,Internal,HospiCare,Family,1,350,630,1120
X04978,Male,51,EC,8900.0,ABSA,2,0,Debit order,Digital,HospiCare,Family,0,350,630,1120
X04990,Male,49,EC,9400.0,Capitec,3,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X04993,Female,37,MP,18000.0,FNB,2,1,Stop order,Internal,HospiCare,Family,1,350,630,1120
X04997,Male,40,MP,79800.0,Nedbank,2,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X04999,Male,43,MP,7600.0,Standard,2,4,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X05030,Male,46,EC,13100.0,ABSA,9,3,Debit order,Broker,HospiCare,Family,1,350,630,1120
X05037,Female,42,MP,16400.0,Capitec,2,1,Debit order,Digital,HospiCare,Family,1,350,630,1120
X05043,Female,39,EC,12300.0,Capitec,4,2,Debit order,Digital,HospiCare,Family,0,350,630,1120
X05049,Female,34,WC,8300.0,Capitec,7,0,Debit order,Digital,HospiCare,Family,0,350,630,1120
X05057,Male,33,KZN,2200.0,Capitec,2,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X05061,Female,35,GP,,Capitec,2,0,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X05064,Male,46,WC,7500.0,FNB,3,1,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X05089,Male,46,GP,3500.0,Standard,2,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X05094,Female,47,GP,2900.0,Capitec,2,1,Debit order,Broker,HospiCare,Single,0,350,630,1120
X05100,Male,43,WC,6300.0,Capitec,1,5,Debit order,Internal,HospiCare,Family,0,350,630,1120
X05128,Male,53,GP,11800.0,Capitec,5,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X05145,Female,46,KZN,6200.0,Nedbank,2,1,Debit order,Broker,HospiCare,Family,1,350,630,1120
X05148,Male,54,WC,5000.0,ABSA,6,3,Debit order,Broker,HospiCare,Couple,0,350,630,1120
X05162,Female,26,FS,2100.0,Capitec,5,2,Debit order,Internal,HospiCare,Single,1,350,630,1120
X05177,Male,47,WC,2800.0,ABSA,5,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X05182,Male,42,MP,5300.0,FNB,5,1,Debit order,Internal,HospiCare,Couple,0,350,630,1120
