id,gender,age,province,income,bank,num_products,client_duration,payment,distrn
X00099,M,43,KZN,13900.0,Capitec,2,3,Debit order,Broker
X00100,M,44,EC,13400.0,ABSA,1,5,Debit order,Internal
X00101,M,39,WC,42000.0,FNB,5,0,Stop order,Broker
X00102,Male,49,KZN,60200.0,Nedbank,1,0,Stop order,Broker
X00103,M,47,GP,6000.0,Capitec,1,1,Debit order,Broker
X00104,M,56,GP,5300.0,Standard,1,1,Debit order,Broker
X00105,Male,38,GP,32300.0,Standard,5,0,Debit order,Internal
X00106,M,50,MP,10300.0,Capitec,10,2,Debit order,Broker
X00107,M,57,FS,91700.0,ABSA,2,1,Debit order,Broker
X00108,M,53,MP,17800.0,FNB,4,0,Stop order,Internal
X00109,M,33,EC,42200.0,Capitec,4,1,Debit order,Broker
X00110,F,51,MP,8300.0,FNB,3,1,Stop order,Internal
X00111,F,40,EC,4400.0,Capitec,5,3,Debit order,Broker
X00112,M,57,GP,9400.0,ABSA,7,0,Debit order,Broker
X00113,M,42,WC,2200.0,ABSA,1,0,Stop order,Internal
X00114,M,35,NW,2200.0,Capitec,3,0,Debit order,Internal
X00115,F,39,WC,6700.0,Other,2,0,Stop order,Digital
X00116,M,45,KZN,16100.0,Capitec,2,0,Debit order,Internal
X00117,Male,41,LP,21000.0,Capitec,5,0,Debit order,Internal
X00118,F,33,WC,5600.0,Capitec,2,3,Debit order,Internal
X00119,F,40,GP,,FNB,1,1,Debit order,Internal
X00120,F,37,GP,10200.0,Capitec,1,1,Debit order,Internal
X00121,F,34,WC,9500.0,Capitec,2,2,Debit order,Broker
X00122,Male,42,NW,16500.0,Capitec,2,3,Debit order,Digital
X00123,M,48,GP,32300.0,Standard,1,0,Stop order,Broker
X00124,M,50,NW,12000.0,FNB,10,1,Debit order,Internal
X00125,M,45,WC,3600.0,Capitec,6,0,Debit order,Broker
X00126,M,62,WC,4500.0,Capitec,1,1,Debit order,Internal
X00127,M,42,KZN,25300.0,ABSA,3,2,Debit order,Internal
X00128,Male,43,FS,10200.0,Nedbank,1,0,Debit order,Digital
X00129,M,50,NW,36400.0,Other,1,1,Debit order,Broker
X00130,F,37,WC,14400.0,FNB,2,1,Debit order,Broker
X00131,F,35,GP,,Capitec,7,4,Debit order,Internal
X00132,F,42,GP,19900.0,Capitec,1,0,Debit order,Internal
X00133,Male,41,GP,11800.0,ABSA,3,3,Debit order,Internal
X00134,F,45,WC,2500.0,Nedbank,4,3,Debit order,Broker
X00135,M,37,FS,72800.0,Standard,9,2,Debit order,Broker
X00136,M,41,WC,,Nedbank,1,0,Debit order,Internal
X00137,M,42,WC,,,2,4,,Internal
X00138,M,47,EC,5820000.0,FNB,3,0,Debit order,Broker
X00139,F,40,EC,20200.0,FNB,1,0,Debit order,Broker
X00140,M,50,GP,15200.0,Capitec,2,1,Debit order,Broker
X00141,F,54,WC,7100.0,Nedbank,1,2,Debit order,Internal
X00142,F,36,KZN,14500.0,FNB,6,1,Debit order,Broker
X00143,M,47,WC,8400.0,ABSA,2,0,Debit order,Broker
X00144,M,51,GP,15600.0,Capitec,3,0,Debit order,Internal
X00145,M,43,GP,23700.0,ABSA,1,0,Stop order,Broker
X00146,M,41,LP,32400.0,Standard,4,0,Debit order,Broker
X00147,M,38,GP,26500.0,ABSA,2,0,Debit order,Broker
X00148,F,41,GP,29000.0,Nedbank,6,1,Debit order,Broker
X00149,M,47,NW,15900.0,FNB,9,3,Debit order,Internal
X00150,F,25,MP,16300.0,Capitec,2,0,Debit order,Internal
X00151,M,44,KZN,5200.0,ABSA,2,1,Debit order,Broker
X00152,F,39,GP,5800.0,Capitec,2,0,Debit order,Broker
X00153,F,50,MP,21100.0,Capitec,1,2,Debit order,Internal
X00154,F,49,KZN,20700.0,Capitec,1,2,Debit order,Broker
X00155,F,63,GP,13300.0,FNB,8,2,Stop order,Broker
X00156,F,48,GP,4500.0,FNB,3,1,Debit order,Internal
X00157,F,47,WC,24800.0,Capitec,4,2,Debit order,Internal
X00158,F,39,FS,12700.0,FNB,3,4,Debit order,Internal
X00159,F,60,WC,2900.0,Capitec,3,1,Debit order,Broker
X00160,M,55,GP,5000.0,Capitec,3,0,Debit order,Internal
X00161,F,51,GP,42800.0,Nedbank,1,0,Debit order,Broker
X00162,F,42,WC,15600.0,Capitec,1,0,Debit order,Internal
X00163,F,43,WC,21200.0,FNB,1,0,Debit order,Broker
X00164,F,50,KZN,16900.0,Capitec,1,0,Debit order,Broker
X00165,F,54,GP,5300.0,Capitec,1,0,Debit order,Internal
X00166,M,46,EC,,Capitec,1,1,Debit order,Internal
X00167,F,45,GP,13100.0,Capitec,8,0,Debit order,Internal
X00168,Male,46,MP,32500.0,ABSA,2,1,Stop order,Internal
X00169,F,44,MP,14800.0,Capitec,4,1,Debit order,Broker
X00170,F,51,MP,20300.0,Standard,1,2,Debit order,Broker
X00171,F,47,GP,15100.0,FNB,3,3,Debit order,Internal
X00172,F,55,KZN,2900.0,Capitec,2,1,Debit order,Broker
X00173,F,47,GP,22100.0,FNB,10,2,Debit order,Internal
X00174,M,40,NC,5900.0,Capitec,3,1,Debit order,Broker
X00175,Male,47,GP,22500.0,Nedbank,2,1,Debit order,Broker
X00176,M,51,WC,7700.0,Capitec,2,0,Debit order,Broker
X00177,Male,40,KZN,8700.0,ABSA,2,0,Stop order,Internal
X00178,M,50,KZN,8300.0,ABSA,1,0,Debit order,Broker
X00179,M,46,EC,29900.0,Capitec,1,1,Debit order,Broker
X00180,M,43,WC,18000.0,Capitec,3,0,Debit order,Digital
X00181,F,56,WC,2900.0,Capitec,1,1,Debit order,Internal
X00182,F,58,FS,13500.0,Capitec,2,3,Debit order,Internal
X00183,M,35,WC,2500.0,Standard,1,0,Debit order,Broker
X00184,M,42,KZN,31500.0,Standard,1,0,Debit order,Broker
X00185,M,40,MP,15200.0,Capitec,5,1,Debit order,Broker
X00186,F,39,NW,18500.0,ABSA,1,0,Debit order,Broker
X00187,M,54,EC,19400.0,Other,2,4,Debit order,Internal
X00188,M,56,GP,9400.0,Capitec,1,2,Debit order,Broker
X00189,M,56,KZN,,FNB,3,0,Debit order,Broker
X00190,M,29,GP,37600.0,FNB,1,0,Debit order,Broker
X00191,F,50,WC,15300.0,Capitec,1,2,Debit order,Broker
X00192,M,35,FS,5700.0,FNB,8,0,Stop order,Broker
X00193,F,41,WC,,ABSA,9,1,Debit order,Broker
X00194,F,49,NC,15900.0,FNB,2,0,Debit order,Digital
X00195,M,45,GP,47700.0,ABSA,1,0,Stop order,Broker
X00196,Male,37,GP,,Capitec,5,0,Debit order,Digital
X00197,M,50,MP,5200.0,ABSA,1,3,Debit order,Internal
X00198,M,66,GP,7600.0,Nedbank,3,0,Debit order,Broker
X00199,F,38,WC,,FNB,10,1,Debit order,Internal
X00200,F,46,WC,14000.0,Nedbank,4,3,Debit order,Internal
X00201,F,39,KZN,3500.0,Capitec,2,0,Debit order,Internal
X00202,M,40,GP,3600.0,Capitec,1,0,Debit order,Digital
X00203,F,37,GP,12600.0,FNB,1,2,Stop order,Broker
X00204,Male,50,WC,6000.0,Capitec,1,5,Debit order,Broker
X00205,M,49,WC,12700.0,Standard,3,1,Debit order,Internal
X00206,M,48,WC,2100.0,Standard,8,0,Stop order,Internal
X00207,F,49,LP,31100.0,Capitec,1,0,Debit order,Broker
X00208,F,37,EC,3700.0,Capitec,2,1,Debit order,Broker
X00209,F,47,WC,27900.0,Other,1,2,Stop order,Broker
X00210,F,46,GP,43900.0,ABSA,3,0,Debit order,Broker
X00211,M,53,WC,44900.0,Capitec,2,0,Debit order,Broker
X00212,F,36,KZN,6700.0,Capitec,1,1,Debit order,Broker
X00213,F,34,GP,68200.0,FNB,6,1,Debit order,Broker
X00214,M,50,GP,16700.0,FNB,1,0,Stop order,Internal
X00215,F,45,NW,7300.0,ABSA,1,0,Stop order,Internal
X00216,F,37,GP,47300.0,Standard,7,0,Debit order,Broker
X00217,F,44,EC,36100.0,Capitec,4,0,Debit order,Internal
X00218,M,63,GP,,,7,2,,Internal
X00219,F,39,GP,5200.0,Nedbank,7,0,Debit order,Broker
X00220,F,52,MP,15800.0,Capitec,3,5,Debit order,Internal
X00221,M,51,EC,9300.0,Capitec,1,1,Debit order,Broker
X00222,Female,51,KZN,5500.0,Capitec,3,1,Debit order,Internal
X00223,F,42,GP,8700.0,Capitec,2,5,Debit order,Internal
X00224,Male,36,GP,14900.0,FNB,3,2,Debit order,Broker
X00225,M,40,GP,24300.0,ABSA,4,0,Debit order,Internal
X00226,M,45,GP,10700.0,FNB,1,0,Debit order,Internal
X00227,M,53,GP,46100.0,ABSA,4,0,Stop order,Broker
X00228,M,46,GP,14400.0,Capitec,2,2,Debit order,Broker
X00229,F,55,KZN,17200.0,ABSA,7,2,Debit order,Broker
X00230,Male,54,GP,12400.0,FNB,4,0,Debit order,Internal
X00231,F,41,KZN,16500.0,Nedbank,3,1,Stop order,Internal
X00232,M,40,WC,11600.0,Capitec,2,0,Debit order,Broker
X00233,F,47,NW,2600.0,ABSA,7,0,Stop order,Broker
X00234,M,49,MP,17000.0,Capitec,4,0,Debit order,Internal
X00235,F,45,GP,9100.0,FNB,10,1,Debit order,Internal
X00236,F,45,EC,10600.0,FNB,6,1,Debit order,Digital
X00237,M,42,NW,5500.0,Capitec,4,0,Debit order,Digital
X00238,M,44,KZN,19000.0,FNB,1,1,Debit order,Digital
X00239,F,47,WC,5200.0,Nedbank,7,0,Debit order,Broker
X00240,M,41,EC,35600.0,ABSA,3,0,Stop order,Broker
X00241,Male,51,KZN,30800.0,ABSA,7,1,Debit order,Internal
X00242,M,45,GP,18700.0,ABSA,3,1,Debit order,Internal
X00243,Male,50,GP,32600.0,ABSA,2,0,Debit order,Broker
X00244,M,53,LP,47700.0,ABSA,2,1,Debit order,Internal
X00245,M,42,KZN,50500.0,Nedbank,4,1,Debit order,Broker
X00246,F,52,GP,44400.0,ABSA,3,0,Stop order,Internal
X00247,F,45,EC,11900.0,Capitec,1,0,Debit order,Broker
X00248,F,38,KZN,5500.0,FNB,6,0,Debit order,Broker
X00249,F,29,MP,9000.0,Capitec,5,1,Debit order,Internal
X00250,M,50,EC,22400.0,ABSA,2,1,Debit order,Internal
X00251,M,44,GP,3600.0,Capitec,1,4,Debit order,Internal
X00252,Female,41,NC,57000.0,Standard,5,1,Debit order,Broker
X00253,M,34,WC,4300.0,Standard,2,0,Debit order,Internal
X00254,F,35,KZN,4800.0,ABSA,2,3,Debit order,Broker
X00255,F,54,WC,18300.0,Nedbank,1,1,Debit order,Internal
X00256,Female,41,GP,13900.0,Nedbank,2,0,Debit order,Internal
X00257,M,50,EC,16100.0,Capitec,3,1,Debit order,Internal
X00258,F,43,WC,9900.0,Standard,8,0,Debit order,Internal
X00259,M,44,NW,5000.0,Capitec,10,3,Debit order,Internal
X00260,M,42,EC,8200.0,FNB,1,1,Debit order,Broker
X00261,M,38,KZN,29100.0,FNB,9,3,Debit order,Broker
X00262,F,44,GP,7000.0,FNB,1,0,Debit order,Broker
X00263,M,46,MP,10000.0,ABSA,1,1,Stop order,Internal
X00264,Female,29,FS,11300.0,Capitec,2,0,Debit order,Broker
X00265,F,44,GP,12400.0,Nedbank,7,5,Debit order,Broker
X00266,M,35,MP,3000.0,Capitec,4,0,Debit order,Internal
X00267,F,48,MP,8600.0,FNB,1,2,Debit order,Internal
X00268,M,40,NW,5300.0,FNB,1,0,Debit order,Internal
X00269,F,38,GP,12400.0,Capitec,1,0,Debit order,Internal
X00270,F,37,WC,15900.0,Capitec,3,0,Debit order,Internal
X00271,M,52,GP,25300.0,FNB,1,0,Debit order,Internal
X00272,F,40,GP,30000.0,ABSA,2,1,Stop order,Broker
X00273,F,56,GP,4100.0,Nedbank,1,0,Stop order,Broker
X00274,F,53,EC,15800.0,FNB,2,1,Stop order,Broker
X00275,Male,54,MP,6000.0,Capitec,6,0,Debit order,Internal
X00276,M,55,GP,,ABSA,4,0,Debit order,Digital
X00277,M,54,GP,5000.0,Capitec,1,0,Debit order,Broker
X00278,Male,40,GP,3400.0,ABSA,3,1,Stop order,Broker
X00279,M,48,WC,23100.0,Capitec,5,4,Debit order,Broker
X00280,M,44,KZN,32000.0,Standard,4,1,Debit order,Broker
X00281,F,49,EC,18000.0,Nedbank,3,1,Debit order,Internal
X00282,M,45,GP,,Capitec,3,4,Debit order,Broker
X00283,M,49,NW,20400.0,Capitec,1,1,Debit order,Internal
X00284,M,51,KZN,10600.0,ABSA,1,0,Debit order,Internal
X00285,F,38,LP,17300.0,Capitec,1,1,Debit order,Internal
X00286,Male,43,FS,3300.0,Capitec,8,0,Debit order,Internal
X00287,F,50,KZN,7300.0,Nedbank,3,1,Debit order,Internal
X00288,M,43,GP,13700.0,Capitec,1,0,Debit order,Internal
X00289,F,42,NC,7600.0,Capitec,1,1,Debit order,Broker
X00290,F,40,WC,6300.0,FNB,3,1,Debit order,Internal
X00291,M,46,NW,27600.0,Capitec,5,1,Debit order,Internal
X00292,F,41,WC,4300.0,Standard,5,0,Debit order,Broker
X00293,M,32,FS,5900.0,Capitec,3,1,Debit order,Broker
X00294,M,63,EC,18200.0,FNB,2,0,Stop order,Internal
X00295,Male,47,MP,22300.0,Capitec,5,0,Debit order,Brooker
X00296,M,41,NW,21700.0,Capitec,1,0,Debit order,Internal
X00297,Male,59,NW,37600.0,Standard,2,1,Debit order,Broker
X00298,M,50,NW,6300.0,Capitec,1,1,Debit order,Broker
X00299,Female,47,WC,2200.0,FNB,2,1,Debit order,Broker
X00300,F,39,EC,10400.0,Capitec,7,3,Debit order,Broker
X00301,F,41,MP,5300.0,Nedbank,1,2,Debit order,Broker
X00302,M,41,GP,15400.0,Capitec,1,0,Debit order,Digital
X00303,F,38,MP,6200.0,FNB,1,1,Debit order,Broker
X00304,M,53,KZN,16600.0,Standard,3,0,Debit order,Broker
X00305,F,46,FS,12100.0,Standard,3,0,Debit order,Internal
X00306,M,57,EC,7000.0,Capitec,2,4,Debit order,Internal
X00307,M,46,GP,4800.0,Capitec,2,4,Debit order,Internal
X00308,M,46,MP,24700.0,Standard,1,0,Debit order,Digital
X00309,M,43,EC,12500.0,Capitec,9,0,Debit order,Internal
X00310,M,47,EC,43500.0,Standard,7,1,Stop order,Broker
X00311,M,45,GP,5300.0,Capitec,1,1,Debit order,Digital
X00312,Male,48,WC,,,2,0,,Internal
X00313,F,39,KZN,2900.0,Nedbank,8,1,Stop order,Internal
X00314,M,21,WC,2300.0,Standard,3,2,Stop order,Digital
X00315,F,48,FS,18400.0,Nedbank,2,0,Stop order,Broker
X00316,F,53,KZN,9200.0,Nedbank,5,0,Stop order,Broker
X00317,F,52,GP,39900.0,FNB,1,1,Debit order,Broker
X00318,M,50,KZN,16700.0,ABSA,4,0,Debit order,Internal
X00319,M,54,KZN,9500.0,Capitec,3,0,Debit order,Broker
X00320,M,34,NW,31600.0,Capitec,1,1,Debit order,Broker
X00321,Male,54,KZN,18100.0,Standard,4,0,Debit order,Digital
X00322,M,55,KZN,26500.0,Standard,1,0,Debit order,Broker
X00323,M,45,MP,14600.0,ABSA,2,0,Debit order,Broker
X00324,M,55,WC,7100.0,Capitec,3,0,Debit order,Internal
X00325,F,41,MP,7900.0,Capitec,1,3,Debit order,Digital
X00326,F,53,GP,8900.0,FNB,1,2,Debit order,Broker
X00327,M,51,WC,26000.0,Capitec,3,1,Debit order,Broker
X00328,M,46,EC,50300.0,ABSA,4,2,Debit order,Internal
X00329,F,46,GP,17600.0,ABSA,3,0,Debit order,Broker
X00330,F,43,WC,,Nedbank,2,1,Stop order,Internal
X00331,F,46,MP,4200.0,Capitec,2,1,Debit order,Broker
X00332,F,45,KZN,13200.0,Capitec,2,2,Debit order,Internal
X00333,F,63,NC,11700.0,Capitec,3,3,Debit order,Broker
X00334,F,45,KZN,5700.0,Standard,4,2,Stop order,Broker
X00335,M,48,FS,17400.0,FNB,1,0,Debit order,Broker
X00336,F,44,EC,4200.0,ABSA,2,0,Debit order,Internal
X00337,M,47,KZN,,FNB,1,2,Debit order,Internal
X00338,M,40,GP,,ABSA,2,3,Debit order,Internal
X00339,M,59,LP,48900.0,FNB,1,1,Debit order,Broker
X00340,M,59,GP,35300.0,FNB,1,0,Debit order,Broker
X00341,M,44,KZN,19800.0,Capitec,2,2,Debit order,Internal
X00342,F,37,EC,8800.0,FNB,6,1,Stop order,Broker
X00343,M,46,KZN,18600.0,FNB,2,1,Debit order,Internal
X00344,M,50,EC,6300.0,Nedbank,3,0,Debit order,Broker
X00345,F,41,NW,32300.0,Standard,4,1,Debit order,Broker
X00346,M,42,WC,9100.0,Standard,3,0,Debit order,Internal
X00347,F,48,MP,33100.0,ABSA,5,1,Debit order,Broker
X00348,M,43,KZN,18700.0,Capitec,1,1,Debit order,Broker
X00349,M,46,GP,42600.0,FNB,1,1,Debit order,Broker
X00350,F,36,NW,37200.0,FNB,3,1,Debit order,Internal
X00351,Male,52,NC,5100.0,ABSA,2,1,Debit order,Broker
X00352,M,40,GP,12000.0,Capitec,1,5,Debit order,Broker
X00353,M,63,KZN,,Capitec,1,0,Debit order,Internal
X00354,M,50,WC,9200.0,FNB,1,0,Debit order,Internal
X00355,M,39,WC,14000.0,ABSA,3,0,Debit order,Broker
X00356,Female,54,LP,81000.0,ABSA,1,0,Debit order,Broker
X00357,F,37,KZN,8800.0,Capitec,5,1,Debit order,Broker
X00358,M,38,KZN,45200.0,Standard,3,1,Debit order,Internal
X00359,Male,48,NW,53900.0,Nedbank,1,1,Stop order,Broker
X00360,M,46,GP,8200.0,Capitec,1,1,Debit order,Internal
X00361,M,45,GP,3600.0,Capitec,1,0,Debit order,Internal
X00362,M,47,GP,4100.0,Nedbank,1,1,Debit order,Broker
X00363,M,43,NC,7800.0,Capitec,2,4,Debit order,Internal
X00364,F,39,LP,,FNB,2,1,Debit order,Digital
X00365,M,38,EC,19400.0,Capitec,1,0,Debit order,Broker
X00366,F,38,KZN,18400.0,FNB,3,0,Debit order,Internal
X00367,F,46,FS,14100.0,Capitec,3,1,Debit order,Broker
X00368,M,52,GP,23400.0,Standard,5,0,Debit order,Digital
X00369,Male,37,WC,9000.0,Capitec,2,1,Debit order,Broker
X00370,M,50,MP,57600.0,ABSA,1,0,Debit order,Broker
X00371,Male,50,MP,21500.0,Capitec,3,2,Debit order,Broker
X00372,F,39,KZN,2600.0,FNB,2,2,Stop order,Broker
X00373,M,52,GP,6600.0,Capitec,1,1,Debit order,Internal
X00374,M,43,GP,3400.0,Nedbank,1,4,Stop order,Internal
X00375,M,51,NC,16100.0,ABSA,1,1,Debit order,Internal
X00376,M,42,FS,10500.0,FNB,2,2,Debit order,Broker
X00377,F,57,FS,18700.0,Capitec,2,1,Debit order,Internal
X00378,Male,52,FS,6100.0,Standard,8,4,Stop order,Internal
X00379,Female,39,GP,2500.0,Capitec,1,0,Debit order,Internal
X00380,M,53,GP,42500.0,FNB,7,0,Debit order,Broker
X00381,M,47,WC,50900.0,Standard,8,1,Debit order,Broker
X00382,F,51,LP,16700.0,FNB,4,0,Debit order,Internal
X00383,F,43,GP,8100.0,ABSA,1,2,Debit order,Broker
X00384,F,54,GP,56300.0,FNB,2,1,Debit order,Broker
X00385,F,39,GP,6300.0,Capitec,2,1,Debit order,Broker
X00386,F,29,GP,64400.0,Nedbank,2,1,Debit order,Internal
X00387,M,63,MP,90500.0,ABSA,2,3,Debit order,Internal
X00388,F,36,WC,7900.0,Capitec,2,0,Debit order,Internal
X00389,M,37,LP,30300.0,Capitec,3,0,Debit order,Broker
X00390,M,45,NW,5200.0,Capitec,2,0,Debit order,Internal
X00391,F,44,EC,7400.0,ABSA,5,0,Stop order,Broker
X00392,F,49,KZN,10100.0,ABSA,1,1,Debit order,Broker
X00393,Male,48,EC,16500.0,Capitec,2,4,Debit order,Digital
X00394,F,50,KZN,20200.0,Capitec,4,2,Debit order,Internal
X00395,M,29,WC,,Other,3,0,Debit order,Broker
X00396,F,37,KZN,16000.0,FNB,3,0,Debit order,Broker
X00397,F,52,EC,51600.0,ABSA,2,0,Stop order,Broker
X00398,F,50,FS,34300.0,ABSA,2,0,Debit order,Broker
X00399,F,52,GP,10600.0,Capitec,6,1,Debit order,Broker
X00400,F,40,EC,15000.0,Capitec,10,3,Debit order,Internal
X00401,M,49,GP,7000.0,Capitec,2,0,Debit order,Broker
X00402,M,41,GP,5400.0,Capitec,2,1,Debit order,Broker
X00403,F,26,WC,3700.0,Capitec,1,0,Debit order,Broker
X00404,F,56,WC,38400.0,ABSA,2,2,Debit order,Internal
X00405,F,45,GP,4500.0,FNB,1,2,Debit order,Internal
X00406,M,47,WC,19000.0,ABSA,1,0,Debit order,Broker
X00407,F,38,GP,22800.0,FNB,1,1,Debit order,Broker
X00408,F,45,GP,17300.0,Capitec,5,0,Debit order,Internal
X00409,M,63,WC,8100.0,ABSA,2,0,Debit order,Broker
X00410,M,33,FS,2400.0,Capitec,3,1,Debit order,Internal
X00411,M,49,KZN,,Nedbank,1,2,Debit order,Internal
X00412,Male,44,GP,,Capitec,2,0,Debit order,Internal
X00413,M,59,WC,4700.0,Capitec,1,0,Debit order,Internal
X00414,M,57,EC,13100.0,ABSA,2,0,Debit order,Broker
